"Outlet Identifier","Item Type","item_sales","outlet_avg_sales","diff_from_avg"
"OUT010","Fruits and Vegetables","10789.6834","4883.2229125000000000","5906.4604875000000000"
"OUT010","Snack Foods","10649.7554","4883.2229125000000000","5766.5324875000000000"
"OUT010","Household","9822.0842","4883.2229125000000000","4938.8612875000000000"
"OUT010","Frozen Foods","7359.7874","4883.2229125000000000","2476.5644875000000000"
"OUT010","Dairy","6707.8582","4883.2229125000000000","1824.6352875000000000"
"OUT010","Baking Goods","5328.4502","4883.2229125000000000","445.2272875000000000"
"OUT010","Health and Hygiene","4993.1316","4883.2229125000000000","109.9086875000000000"
"OUT010","Meat","4624.2074","4883.2229125000000000","-259.0155125000000000"
"OUT010","Canned","4551.2196","4883.2229125000000000","-332.0033125000000000"
"OUT010","Soft Drinks","4002.9870","4883.2229125000000000","-880.2359125000000000"
"OUT010","Breads","2632.9732","4883.2229125000000000","-2250.2497125000000000"
"OUT010","Hard Drinks","2041.7454","4883.2229125000000000","-2841.4775125000000000"
"OUT010","Breakfast","1510.9266","4883.2229125000000000","-3372.2963125000000000"
"OUT010","Starchy Foods","1249.0460","4883.2229125000000000","-3634.1769125000000000"
"OUT010","Others","1241.6564","4883.2229125000000000","-3641.5665125000000000"
"OUT010","Seafood","626.0546","4883.2229125000000000","-4257.1683125000000000"
"OUT013","Fruits and Vegetables","20671.3476","8238.0634750000000000","12433.2841250000000000"
"OUT013","Snack Foods","18230.8858","8238.0634750000000000","9992.8223250000000000"
"OUT013","Household","15151.0448","8238.0634750000000000","6912.9813250000000000"
"OUT013","Frozen Foods","12588.2910","8238.0634750000000000","4350.2275250000000000"
"OUT013","Dairy","12280.7338","8238.0634750000000000","4042.6703250000000000"
"OUT013","Baking Goods","9431.7492","8238.0634750000000000","1193.6857250000000000"
"OUT013","Canned","8803.7760","8238.0634750000000000","565.7125250000000000"
"OUT013","Health and Hygiene","8241.7698","8238.0634750000000000","3.7063250000000000"
"OUT013","Soft Drinks","6456.1652","8238.0634750000000000","-1781.8982750000000000"
"OUT013","Meat","5627.0364","8238.0634750000000000","-2611.0270750000000000"
"OUT013","Breads","3343.9740","8238.0634750000000000","-4894.0894750000000000"
"OUT013","Hard Drinks","3264.3330","8238.0634750000000000","-4973.7304750000000000"
"OUT013","Starchy Foods","3004.9844","8238.0634750000000000","-5233.0790750000000000"
"OUT013","Others","2121.2258","8238.0634750000000000","-6116.8376750000000000"
"OUT013","Breakfast","1917.3776","8238.0634750000000000","-6320.6858750000000000"
"OUT013","Seafood","674.3212","8238.0634750000000000","-7563.7422750000000000"
"OUT017","Fruits and Vegetables","18456.7652","8068.9975250000000000","10387.7676750000000000"
"OUT017","Snack Foods","18102.8072","8068.9975250000000000","10033.8096750000000000"
"OUT017","Frozen Foods","14238.4854","8068.9975250000000000","6169.4878750000000000"
"OUT017","Household","14096.0674","8068.9975250000000000","6027.0698750000000000"
"OUT017","Dairy","10934.7598","8068.9975250000000000","2865.7622750000000000"
"OUT017","Canned","9527.2348","8068.9975250000000000","1458.2372750000000000"
"OUT017","Baking Goods","8848.1344","8068.9975250000000000","779.1368750000000000"
"OUT017","Health and Hygiene","7989.1896","8068.9975250000000000","-79.8079250000000000"
"OUT017","Soft Drinks","7280.3596","8068.9975250000000000","-788.6379250000000000"
"OUT017","Meat","5923.5304","8068.9975250000000000","-2145.4671250000000000"
"OUT017","Hard Drinks","3171.8312","8068.9975250000000000","-4897.1663250000000000"
"OUT017","Breads","3051.2562","8068.9975250000000000","-5017.7413250000000000"
"OUT017","Starchy Foods","2601.5780","8068.9975250000000000","-5467.4195250000000000"
"OUT017","Others","2320.2892","8068.9975250000000000","-5748.7083250000000000"
"OUT017","Breakfast","1840.1764","8068.9975250000000000","-6228.8211250000000000"
"OUT017","Seafood","721.4956","8068.9975250000000000","-7347.5019250000000000"
"OUT018","Snack Foods","20003.2424","8217.3610250000000000","11785.8813750000000000"
"OUT018","Fruits and Vegetables","18967.2918","8217.3610250000000000","10749.9307750000000000"
"OUT018","Household","14244.6486","8217.3610250000000000","6027.2875750000000000"
"OUT018","Frozen Foods","13253.7174","8217.3610250000000000","5036.3563750000000000"
"OUT018","Canned","10852.4710","8217.3610250000000000","2635.1099750000000000"
"OUT018","Dairy","10638.9446","8217.3610250000000000","2421.5835750000000000"
"OUT018","Baking Goods","8594.2014","8217.3610250000000000","376.8403750000000000"
"OUT018","Health and Hygiene","7339.9238","8217.3610250000000000","-877.4372250000000000"
"OUT018","Meat","6365.9350","8217.3610250000000000","-1851.4260250000000000"
"OUT018","Soft Drinks","6289.6338","8217.3610250000000000","-1927.7272250000000000"
"OUT018","Hard Drinks","3609.1194","8217.3610250000000000","-4608.2416250000000000"
"OUT018","Breads","3539.4032","8217.3610250000000000","-4677.9578250000000000"
"OUT018","Starchy Foods","2580.3776","8217.3610250000000000","-5636.9834250000000000"
"OUT018","Others","2556.2668","8217.3610250000000000","-5661.0942250000000000"
"OUT018","Breakfast","1552.6140","8217.3610250000000000","-6664.7470250000000000"
"OUT018","Seafood","1089.9856","8217.3610250000000000","-7127.3754250000000000"
"OUT019","Snack Foods","10678.0848","4612.9739000000000000","6065.1109000000000000"
"OUT019","Fruits and Vegetables","10633.7312","4612.9739000000000000","6020.7573000000000000"
"OUT019","Household","8260.0252","4612.9739000000000000","3647.0513000000000000"
"OUT019","Dairy","6831.4816","4612.9739000000000000","2218.5077000000000000"
"OUT019","Frozen Foods","6390.6536","4612.9739000000000000","1777.6797000000000000"
"OUT019","Canned","5528.6794","4612.9739000000000000","915.7055000000000000"
"OUT019","Baking Goods","5418.7856","4612.9739000000000000","805.8117000000000000"
"OUT019","Meat","4456.8414","4612.9739000000000000","-156.1325000000000000"
"OUT019","Health and Hygiene","3970.8918","4612.9739000000000000","-642.0821000000000000"
"OUT019","Soft Drinks","3670.3818","4612.9739000000000000","-942.5921000000000000"
"OUT019","Others","2225.6088","4612.9739000000000000","-2387.3651000000000000"
"OUT019","Breads","2199.9716","4612.9739000000000000","-2413.0023000000000000"
"OUT019","Breakfast","1282.5862","4612.9739000000000000","-3330.3877000000000000"
"OUT019","Seafood","812.1076","4612.9739000000000000","-3800.8663000000000000"
"OUT019","Hard Drinks","770.7990","4612.9739000000000000","-3842.1749000000000000"
"OUT019","Starchy Foods","676.9528","4612.9739000000000000","-3936.0211000000000000"
"OUT027","Fruits and Vegetables","20301.3866","8169.6671625000000000","12131.7194375000000000"
"OUT027","Snack Foods","19806.7076","8169.6671625000000000","11637.0404375000000000"
"OUT027","Household","14506.3582","8169.6671625000000000","6336.6910375000000000"
"OUT027","Frozen Foods","12206.3460","8169.6671625000000000","4036.6788375000000000"
"OUT027","Canned","10125.0496","8169.6671625000000000","1955.3824375000000000"
"OUT027","Dairy","9918.4832","8169.6671625000000000","1748.8160375000000000"
"OUT027","Baking Goods","8887.8378","8169.6671625000000000","718.1706375000000000"
"OUT027","Meat","7833.1214","8169.6671625000000000","-336.5457625000000000"
"OUT027","Health and Hygiene","7671.1450","8169.6671625000000000","-498.5221625000000000"
"OUT027","Soft Drinks","5549.1114","8169.6671625000000000","-2620.5557625000000000"
"OUT027","Breads","4515.9634","8169.6671625000000000","-3653.7037625000000000"
"OUT027","Hard Drinks","3302.2602","8169.6671625000000000","-4867.4069625000000000"
"OUT027","Starchy Foods","2003.0974","8169.6671625000000000","-6166.5697625000000000"
"OUT027","Breakfast","1617.9230","8169.6671625000000000","-6551.7441625000000000"
"OUT027","Others","1601.6858","8169.6671625000000000","-6567.9813625000000000"
"OUT027","Seafood","868.1980","8169.6671625000000000","-7301.4691625000000000"
"OUT035","Snack Foods","20437.2228","8318.9941875000000000","12118.2286125000000000"
"OUT035","Fruits and Vegetables","18299.3316","8318.9941875000000000","9980.3374125000000000"
"OUT035","Household","15873.0616","8318.9941875000000000","7554.0674125000000000"
"OUT035","Frozen Foods","13248.1962","8318.9941875000000000","4929.2020125000000000"
"OUT035","Canned","11340.1506","8318.9941875000000000","3021.1564125000000000"
"OUT035","Dairy","10799.2578","8318.9941875000000000","2480.2636125000000000"
"OUT035","Baking Goods","8535.1218","8318.9941875000000000","216.1276125000000000"
"OUT035","Soft Drinks","6853.4634","8318.9941875000000000","-1465.5307875000000000"
"OUT035","Health and Hygiene","6597.9568","8318.9941875000000000","-1721.0373875000000000"
"OUT035","Meat","6445.1756","8318.9941875000000000","-1873.8185875000000000"
"OUT035","Breads","4183.2110","8318.9941875000000000","-4135.7831875000000000"
"OUT035","Hard Drinks","2965.8706","8318.9941875000000000","-5353.1235875000000000"
"OUT035","Starchy Foods","2831.6552","8318.9941875000000000","-5487.3389875000000000"
"OUT035","Others","2236.3958","8318.9941875000000000","-6082.5983875000000000"
"OUT035","Breakfast","1439.2990","8318.9941875000000000","-6879.6951875000000000"
"OUT035","Seafood","1018.5372","8318.9941875000000000","-7300.4569875000000000"
"OUT045","Fruits and Vegetables","20512.2824","8183.9237625000000000","12328.3586375000000000"
"OUT045","Snack Foods","19390.6772","8183.9237625000000000","11206.7534375000000000"
"OUT045","Household","14649.6368","8183.9237625000000000","6465.7130375000000000"
"OUT045","Frozen Foods","11537.8980","8183.9237625000000000","3353.9742375000000000"
"OUT045","Canned","10957.5680","8183.9237625000000000","2773.6442375000000000"
"OUT045","Dairy","10080.9198","8183.9237625000000000","1896.9960375000000000"
"OUT045","Baking Goods","9257.2542","8183.9237625000000000","1073.3304375000000000"
"OUT045","Health and Hygiene","6993.3420","8183.9237625000000000","-1190.5817625000000000"
"OUT045","Soft Drinks","6461.9734","8183.9237625000000000","-1721.9503625000000000"
"OUT045","Meat","5610.4282","8183.9237625000000000","-2573.4955625000000000"
"OUT045","Breads","4327.2710","8183.9237625000000000","-3856.6527625000000000"
"OUT045","Hard Drinks","3656.0026","8183.9237625000000000","-4527.9211625000000000"
"OUT045","Others","2537.3322","8183.9237625000000000","-5646.5915625000000000"
"OUT045","Starchy Foods","2190.0162","8183.9237625000000000","-5993.9075625000000000"
"OUT045","Breakfast","1567.8248","8183.9237625000000000","-6616.0989625000000000"
"OUT045","Seafood","1212.3534","8183.9237625000000000","-6971.5703625000000000"
"OUT046","Fruits and Vegetables","19713.7224","8257.0856125000000000","11456.6367875000000000"
"OUT046","Snack Foods","17242.5776","8257.0856125000000000","8985.4919875000000000"
"OUT046","Household","15436.0310","8257.0856125000000000","7178.9453875000000000"
"OUT046","Frozen Foods","14682.9476","8257.0856125000000000","6425.8619875000000000"
"OUT046","Dairy","11265.7966","8257.0856125000000000","3008.7109875000000000"
"OUT046","Canned","10025.0060","8257.0856125000000000","1767.9203875000000000"
"OUT046","Baking Goods","9460.9916","8257.0856125000000000","1203.9059875000000000"
"OUT046","Health and Hygiene","7360.2402","8257.0856125000000000","-896.8454125000000000"
"OUT046","Meat","6436.1938","8257.0856125000000000","-1820.8918125000000000"
"OUT046","Soft Drinks","6215.8902","8257.0856125000000000","-2041.1954125000000000"
"OUT046","Breads","3948.9966","8257.0856125000000000","-4308.0890125000000000"
"OUT046","Others","3121.9020","8257.0856125000000000","-5135.1836125000000000"
"OUT046","Hard Drinks","2751.2696","8257.0856125000000000","-5505.8160125000000000"
"OUT046","Starchy Foods","2201.6586","8257.0856125000000000","-6055.4270125000000000"
"OUT046","Breakfast","1195.1556","8257.0856125000000000","-7061.9300125000000000"
"OUT046","Seafood","1054.9904","8257.0856125000000000","-7202.0952125000000000"
"OUT049","Snack Foods","20891.9616","8154.8037375000000000","12737.1578625000000000"
"OUT049","Fruits and Vegetables","19778.5388","8154.8037375000000000","11623.7350625000000000"
"OUT049","Household","13937.5676","8154.8037375000000000","5782.7638625000000000"
"OUT049","Frozen Foods","13052.5588","8154.8037375000000000","4897.7550625000000000"
"OUT049","Dairy","11818.2262","8154.8037375000000000","3663.4224625000000000"
"OUT049","Canned","8995.5740","8154.8037375000000000","840.7702625000000000"
"OUT049","Baking Goods","8132.2102","8154.8037375000000000","-22.5935375000000000"
"OUT049","Health and Hygiene","6868.2482","8154.8037375000000000","-1286.5555375000000000"
"OUT049","Meat","6127.3942","8154.8037375000000000","-2027.4095375000000000"
"OUT049","Soft Drinks","5734.2012","8154.8037375000000000","-2420.6025375000000000"
"OUT049","Hard Drinks","3801.4496","8154.8037375000000000","-4353.3541375000000000"
"OUT049","Breads","3636.0996","8154.8037375000000000","-4518.7041375000000000"
"OUT049","Starchy Foods","2540.6612","8154.8037375000000000","-5614.1425375000000000"
"OUT049","Others","2489.5288","8154.8037375000000000","-5665.2749375000000000"
"OUT049","Breakfast","1672.8134","8154.8037375000000000","-6481.9903375000000000"
"OUT049","Seafood","999.8264","8154.8037375000000000","-7154.9773375000000000"
